depth,shadow_length,model_id,reference_datetime
4,7,empirical,2021-03-22 00:00:00
5,10,empirical,2021-03-22 00:00:00
6,14,empirical,2021-03-22 00:00:00
7,13,empirical,2021-03-22 00:00:00
8,14,empirical,2021-03-22 00:00:00
9,14,empirical,2021-03-22 00:00:00
0,4,empirical_ler,2021-03-22 00:00:00
1,2,empirical_ler,2021-03-22 00:00:00
1.5,3,empirical_ler,2021-03-22 00:00:00
2,4,empirical_ler,2021-03-22 00:00:00
3,4,empirical_ler,2021-03-22 00:00:00
4,7,empirical_ler,2021-03-22 00:00:00
5,10,empirical_ler,2021-03-22 00:00:00
6,14,empirical_ler,2021-03-22 00:00:00
7,13,empirical_ler,2021-03-22 00:00:00
8,14,empirical_ler,2021-03-22 00:00:00
9,14,empirical_ler,2021-03-22 00:00:00
0,2,ler,2021-03-22 00:00:00
1,2,ler,2021-03-22 00:00:00
1.5,3,ler,2021-03-22 00:00:00
2,3,ler,2021-03-22 00:00:00
3,5,ler,2021-03-22 00:00:00
4,5,ler,2021-03-22 00:00:00
5,4,ler,2021-03-22 00:00:00
6,7,ler,2021-03-22 00:00:00
7,4,ler,2021-03-22 00:00:00
8,5,ler,2021-03-22 00:00:00
9,3,ler,2021-03-22 00:00:00
0,3,GLM,2021-03-29 00:00:00
1,4,GLM,2021-03-29 00:00:00
1.5,5,GLM,2021-03-29 00:00:00
2,4,GLM,2021-03-29 00:00:00
3,4,GLM,2021-03-29 00:00:00
4,4,GLM,2021-03-29 00:00:00
5,4,GLM,2021-03-29 00:00:00
6,4,GLM,2021-03-29 00:00:00
7,4,GLM,2021-03-29 00:00:00
8,6,GLM,2021-03-29 00:00:00
9,4,GLM,2021-03-29 00:00:00
0,2,GOTM,2021-03-29 00:00:00
1,2,GOTM,2021-03-29 00:00:00
1.5,3,GOTM,2021-03-29 00:00:00
2,3,GOTM,2021-03-29 00:00:00
3,5,GOTM,2021-03-29 00:00:00
4,2,GOTM,2021-03-29 00:00:00
5,4,GOTM,2021-03-29 00:00:00
6,5,GOTM,2021-03-29 00:00:00
7,5,GOTM,2021-03-29 00:00:00
8,4,GOTM,2021-03-29 00:00:00
9,5,GOTM,2021-03-29 00:00:00
0,3,RW,2021-03-29 00:00:00
1,4,RW,2021-03-29 00:00:00
1.5,4,RW,2021-03-29 00:00:00
2,4,RW,2021-03-29 00:00:00
3,3,RW,2021-03-29 00:00:00
4,3,RW,2021-03-29 00:00:00
5,4,RW,2021-03-29 00:00:00
6,14,RW,2021-03-29 00:00:00
7,14,RW,2021-03-29 00:00:00
8,14,RW,2021-03-29 00:00:00
9,14,RW,2021-03-29 00:00:00
0,3,Simstrat,2021-03-29 00:00:00
1,1,Simstrat,2021-03-29 00:00:00
1.5,0,Simstrat,2021-03-29 00:00:00
2,0,Simstrat,2021-03-29 00:00:00
3,2,Simstrat,2021-03-29 00:00:00
4,2,Simstrat,2021-03-29 00:00:00
5,4,Simstrat,2021-03-29 00:00:00
6,3,Simstrat,2021-03-29 00:00:00
7,2,Simstrat,2021-03-29 00:00:00
8,3,Simstrat,2021-03-29 00:00:00
9,4,Simstrat,2021-03-29 00:00:00
0,2,climatology,2021-03-29 00:00:00
1,3,climatology,2021-03-29 00:00:00
1.5,2,climatology,2021-03-29 00:00:00
2,2,climatology,2021-03-29 00:00:00
3,4,climatology,2021-03-29 00:00:00
4,3,climatology,2021-03-29 00:00:00
5,4,climatology,2021-03-29 00:00:00
6,5,climatology,2021-03-29 00:00:00
7,7,climatology,2021-03-29 00:00:00
8,6,climatology,2021-03-29 00:00:00
9,4,climatology,2021-03-29 00:00:00
0,3,empirical,2021-03-29 00:00:00
1,4,empirical,2021-03-29 00:00:00
1.5,3,empirical,2021-03-29 00:00:00
2,4,empirical,2021-03-29 00:00:00
3,4,empirical,2021-03-29 00:00:00
4,3,empirical,2021-03-29 00:00:00
5,4,empirical,2021-03-29 00:00:00
6,14,empirical,2021-03-29 00:00:00
7,14,empirical,2021-03-29 00:00:00
8,14,empirical,2021-03-29 00:00:00
9,14,empirical,2021-03-29 00:00:00
0,3,empirical_ler,2021-03-29 00:00:00
1,3,empirical_ler,2021-03-29 00:00:00
1.5,3,empirical_ler,2021-03-29 00:00:00
2,4,empirical_ler,2021-03-29 00:00:00
3,3,empirical_ler,2021-03-29 00:00:00
4,4,empirical_ler,2021-03-29 00:00:00
5,4,empirical_ler,2021-03-29 00:00:00
6,14,empirical_ler,2021-03-29 00:00:00
7,14,empirical_ler,2021-03-29 00:00:00
8,14,empirical_ler,2021-03-29 00:00:00
9,14,empirical_ler,2021-03-29 00:00:00
0,3,ler,2021-03-29 00:00:00
1,4,ler,2021-03-29 00:00:00
1.5,5,ler,2021-03-29 00:00:00
2,4,ler,2021-03-29 00:00:00
3,4,ler,2021-03-29 00:00:00
